Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Diseases,Cost
1,5.1,3.5,1.4,0.2,Iris-setosa,Bacteria,151.8
2,4.9,3.0,1.4,0.2,Iris-setosa,Virus,419.71
3,4.7,3.2,1.3,0.2,Iris-setosa,Virus,266.48
4,4.6,3.1,1.5,0.2,Iris-setosa,Bacteria,110.24
5,5.0,3.6,1.4,0.2,Iris-setosa,Virus,372.15
6,5.4,3.9,1.7,0.4,Iris-setosa,Virus,434.04
7,4.6,3.4,1.4,0.3,Iris-setosa,Virus,299.27
8,5.0,3.4,1.5,0.2,Iris-setosa,Fungi,122.09
9,4.4,2.9,1.4,0.2,Iris-setosa,Virus,404.65
10,4.9,3.1,1.5,0.1,Iris-setosa,Bacteria,185.87
11,5.4,3.7,1.5,0.2,Iris-setosa,Bacteria,293.35
12,4.8,3.4,1.6,0.2,Iris-setosa,Bacteria,460.45
13,4.8,3.0,1.4,0.1,Iris-setosa,Virus,318.32
14,4.3,3.0,1.1,0.1,Iris-setosa,Bacteria,452.49
15,5.8,4.0,1.2,0.2,Iris-setosa,Bacteria,142.34
16,5.7,4.4,1.5,0.4,Iris-setosa,Bacteria,437.81
17,5.4,3.9,1.3,0.4,Iris-setosa,Virus,306.68
18,5.1,3.5,1.4,0.3,Iris-setosa,Fungi,334.3
19,5.7,3.8,1.7,0.3,Iris-setosa,Bacteria,313.78
20,5.1,3.8,1.5,0.3,Iris-setosa,Bacteria,297.67
21,5.4,3.4,1.7,0.2,Iris-setosa,Fungi,317.16
22,5.1,3.7,1.5,0.4,Iris-setosa,Bacteria,102.59
23,4.6,3.6,1.0,0.2,Iris-setosa,Fungi,436.04
24,5.1,3.3,1.7,0.5,Iris-setosa,Fungi,344.22
25,4.8,3.4,1.9,0.2,Iris-setosa,Bacteria,402.27
26,5.0,3.0,1.6,0.2,Iris-setosa,Bacteria,183.5
27,5.0,3.4,1.6,0.4,Iris-setosa,Bacteria,163.92
28,5.2,3.5,1.5,0.2,Iris-setosa,Fungi,262.06
29,5.2,3.4,1.4,0.2,Iris-setosa,Virus,162.27
30,4.7,3.2,1.6,0.2,Iris-setosa,Bacteria,375.31
31,4.8,3.1,1.6,0.2,Iris-setosa,Bacteria,460.27
32,5.4,3.4,1.5,0.4,Iris-setosa,Bacteria,437.57
33,5.2,4.1,1.5,0.1,Iris-setosa,Bacteria,492.25
34,5.5,4.2,1.4,0.2,Iris-setosa,Virus,129.44
35,4.9,3.1,1.5,0.1,Iris-setosa,Virus,142.3
36,5.0,3.2,1.2,0.2,Iris-setosa,Virus,453.52
37,5.5,3.5,1.3,0.2,Iris-setosa,Bacteria,138.18
38,4.9,3.1,1.5,0.1,Iris-setosa,Fungi,247.58
39,4.4,3.0,1.3,0.2,Iris-setosa,Virus,496.82
40,5.1,3.4,1.5,0.2,Iris-setosa,Virus,473.71
41,5.0,3.5,1.3,0.3,Iris-setosa,Bacteria,469.91
42,4.5,2.3,1.3,0.3,Iris-setosa,Fungi,443.15
43,4.4,3.2,1.3,0.2,Iris-setosa,Bacteria,301.05
44,5.0,3.5,1.6,0.6,Iris-setosa,Bacteria,473.36
45,5.1,3.8,1.9,0.4,Iris-setosa,Fungi,203.55
46,4.8,3.0,1.4,0.3,Iris-setosa,Bacteria,105.59
47,5.1,3.8,1.6,0.2,Iris-setosa,Bacteria,315.21
48,4.6,3.2,1.4,0.2,Iris-setosa,Bacteria,435.57
49,5.3,3.7,1.5,0.2,Iris-setosa,Bacteria,166.37
50,5.0,3.3,1.4,0.2,Iris-setosa,Bacteria,391.9
51,7.0,3.2,4.7,1.4,Iris-versicolor,Bacteria,157.42
52,6.4,3.2,4.5,1.5,Iris-versicolor,Virus,463.06
53,6.9,3.1,4.9,1.5,Iris-versicolor,Fungi,314.89
54,5.5,2.3,4.0,1.3,Iris-versicolor,Fungi,341.97
55,6.5,2.8,4.6,1.5,Iris-versicolor,Virus,239.38
56,5.7,2.8,4.5,1.3,Iris-versicolor,Bacteria,202.45
57,6.3,3.3,4.7,1.6,Iris-versicolor,Virus,409.7
58,4.9,2.4,3.3,1.0,Iris-versicolor,Virus,426.8
59,6.6,2.9,4.6,1.3,Iris-versicolor,Fungi,478.1
60,5.2,2.7,3.9,1.4,Iris-versicolor,Bacteria,489.05
61,5.0,2.0,3.5,1.0,Iris-versicolor,Bacteria,372.09
62,5.9,3.0,4.2,1.5,Iris-versicolor,Fungi,356.35
63,6.0,2.2,4.0,1.0,Iris-versicolor,Fungi,388.32
64,6.1,2.9,4.7,1.4,Iris-versicolor,Bacteria,247.3
65,5.6,2.9,3.6,1.3,Iris-versicolor,Fungi,178.19
66,6.7,3.1,4.4,1.4,Iris-versicolor,Fungi,193.55
67,5.6,3.0,4.5,1.5,Iris-versicolor,Fungi,129.83
68,5.8,2.7,4.1,1.0,Iris-versicolor,Virus,228.74
69,6.2,2.2,4.5,1.5,Iris-versicolor,Bacteria,227.08
70,5.6,2.5,3.9,1.1,Iris-versicolor,Bacteria,289.37
71,5.9,3.2,4.8,1.8,Iris-versicolor,Bacteria,244.41
72,6.1,2.8,4.0,1.3,Iris-versicolor,Virus,282.77
73,6.3,2.5,4.9,1.5,Iris-versicolor,Fungi,198.7
74,6.1,2.8,4.7,1.2,Iris-versicolor,Fungi,112.4
75,6.4,2.9,4.3,1.3,Iris-versicolor,Virus,107.84
76,6.6,3.0,4.4,1.4,Iris-versicolor,Virus,208.32
77,6.8,2.8,4.8,1.4,Iris-versicolor,Virus,287.89
78,6.7,3.0,5.0,1.7,Iris-versicolor,Virus,490.03
79,6.0,2.9,4.5,1.5,Iris-versicolor,Fungi,337.2
80,5.7,2.6,3.5,1.0,Iris-versicolor,Virus,178.35
81,5.5,2.4,3.8,1.1,Iris-versicolor,Virus,400.27
82,5.5,2.4,3.7,1.0,Iris-versicolor,Fungi,400.13
83,5.8,2.7,3.9,1.2,Iris-versicolor,Virus,325.49
84,6.0,2.7,5.1,1.6,Iris-versicolor,Virus,238.87
85,5.4,3.0,4.5,1.5,Iris-versicolor,Virus,117.88
86,6.0,3.4,4.5,1.6,Iris-versicolor,Fungi,269.73
87,6.7,3.1,4.7,1.5,Iris-versicolor,Bacteria,207.47
88,6.3,2.3,4.4,1.3,Iris-versicolor,Virus,434.8
89,5.6,3.0,4.1,1.3,Iris-versicolor,Fungi,118.08
90,5.5,2.5,4.0,1.3,Iris-versicolor,Fungi,491.67
91,5.5,2.6,4.4,1.2,Iris-versicolor,Fungi,148.26
92,6.1,3.0,4.6,1.4,Iris-versicolor,Bacteria,292.12
93,5.8,2.6,4.0,1.2,Iris-versicolor,Virus,204.41
94,5.0,2.3,3.3,1.0,Iris-versicolor,Virus,238.78
95,5.6,2.7,4.2,1.3,Iris-versicolor,Fungi,156.32
96,5.7,3.0,4.2,1.2,Iris-versicolor,Bacteria,492.2
97,5.7,2.9,4.2,1.3,Iris-versicolor,Bacteria,251.91
98,6.2,2.9,4.3,1.3,Iris-versicolor,Virus,328.74
99,5.1,2.5,3.0,1.1,Iris-versicolor,Fungi,419.69
100,5.7,2.8,4.1,1.3,Iris-versicolor,Bacteria,303.38
101,6.3,3.3,6.0,2.5,Iris-virginica,Virus,222.64
102,5.8,2.7,5.1,1.9,Iris-virginica,Bacteria,133.38
103,7.1,3.0,5.9,2.1,Iris-virginica,Virus,130.65
104,6.3,2.9,5.6,1.8,Iris-virginica,Fungi,140.26
105,6.5,3.0,5.8,2.2,Iris-virginica,Bacteria,297.31
106,7.6,3.0,6.6,2.1,Iris-virginica,Virus,183.89
107,4.9,2.5,4.5,1.7000000000000002,Iris-virginica,Virus,384.48
108,7.3,2.9,6.3,1.8,Iris-virginica,Virus,353.18
109,6.7,2.5,5.8,1.8,Iris-virginica,Virus,329.74
110,7.2,3.6,6.1,2.5,Iris-virginica,Virus,456.71
111,6.5,3.2,5.1,2.0,Iris-virginica,Fungi,218.74
112,6.4,2.7,5.3,1.9,Iris-virginica,Bacteria,196.91
113,6.8,3.0,5.5,2.1,Iris-virginica,Virus,140.92
114,5.7,2.5,5.0,2.0,Iris-virginica,Fungi,332.84
115,5.8,2.8,5.1,2.4,Iris-virginica,Virus,351.09
116,6.4,3.2,5.3,2.3,Iris-virginica,Virus,167.08
117,6.5,3.0,5.5,1.8,Iris-virginica,Bacteria,314.0
118,7.7,3.8,6.7,2.2,Iris-virginica,Virus,406.53
119,7.7,2.6,6.9,2.3,Iris-virginica,Virus,123.16
120,6.0,2.2,5.0,1.5,Iris-virginica,Bacteria,497.02
121,6.9,3.2,5.7,2.3,Iris-virginica,Virus,238.26
122,5.6,2.8,4.9,2.0,Iris-virginica,Bacteria,315.84
123,7.7,2.8,6.7,2.0,Iris-virginica,Fungi,195.67
124,6.3,2.7,4.9,1.8,Iris-virginica,Fungi,348.68
125,6.7,3.3,5.7,2.1,Iris-virginica,Virus,326.9
126,7.2,3.2,6.0,1.8,Iris-virginica,Virus,390.26
127,6.2,2.8,4.8,1.8,Iris-virginica,Virus,449.89
128,6.1,3.0,4.9,1.8,Iris-virginica,Virus,258.52
129,6.4,2.8,5.6,2.1,Iris-virginica,Virus,135.69
130,7.2,3.0,5.8,1.6,Iris-virginica,Fungi,269.09
131,7.4,2.8,6.1,1.9,Iris-virginica,Bacteria,265.66
132,7.9,3.8,6.4,2.0,Iris-virginica,Bacteria,388.52
133,6.4,2.8,5.6,2.2,Iris-virginica,Bacteria,390.56
134,6.3,2.8,5.1,1.5,Iris-virginica,Bacteria,296.43
135,6.1,2.6,5.6,1.4,Iris-virginica,Virus,432.16
136,7.7,3.0,6.1,2.3,Iris-virginica,Virus,158.47
137,6.3,3.4,5.6,2.4,Iris-virginica,Virus,489.34
138,6.4,3.1,5.5,1.8,Iris-virginica,Fungi,297.08
139,6.0,3.0,4.8,1.8,Iris-virginica,Fungi,358.63
140,6.9,3.1,5.4,2.1,Iris-virginica,Fungi,364.73
141,6.7,3.1,5.6,2.4,Iris-virginica,Virus,375.42
142,6.9,3.1,5.1,2.3,Iris-virginica,Fungi,490.31
143,5.8,2.7,5.1,1.9,Iris-virginica,Virus,120.14
144,6.8,3.2,5.9,2.3,Iris-virginica,Bacteria,164.34
145,6.7,3.3,5.7,2.5,Iris-virginica,Virus,311.88
146,6.7,3.0,5.2,2.3,Iris-virginica,Bacteria,482.35
147,6.3,2.5,5.0,1.9,Iris-virginica,Virus,272.56
148,6.5,3.0,5.2,2.0,Iris-virginica,Virus,161.38
149,6.2,3.4,5.4,2.3,Iris-virginica,Virus,461.38
150,5.9,3.0,5.1,1.8,Iris-virginica,Bacteria,238.17
