Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Diseases,Cost
31,4.8,3.1,1.6,0.2,Iris-setosa,Bacteria,460.27
32,5.4,3.4,1.5,0.4,Iris-setosa,Bacteria,437.57
33,5.2,4.1,1.5,0.1,Iris-setosa,Bacteria,492.25
34,5.5,4.2,1.4,0.2,Iris-setosa,Virus,129.44
35,4.9,3.1,1.5,0.1,Iris-setosa,Virus,142.3
36,5.0,3.2,1.2,0.2,Iris-setosa,Virus,453.52
37,5.5,3.5,1.3,0.2,Iris-setosa,Bacteria,138.18
38,4.9,3.1,1.5,0.1,Iris-setosa,Fungi,247.58
39,4.4,3.0,1.3,0.2,Iris-setosa,Virus,496.82
40,5.1,3.4,1.5,0.2,Iris-setosa,Virus,473.71
41,5.0,3.5,1.3,0.3,Iris-setosa,Bacteria,469.91
42,4.5,2.3,1.3,0.3,Iris-setosa,Fungi,443.15
43,4.4,3.2,1.3,0.2,Iris-setosa,Bacteria,301.05
44,5.0,3.5,1.6,0.6,Iris-setosa,Bacteria,473.36
45,5.1,3.8,1.9,0.4,Iris-setosa,Fungi,203.55
46,4.8,3.0,1.4,0.3,Iris-setosa,Bacteria,105.59
47,5.1,3.8,1.6,0.2,Iris-setosa,Bacteria,315.21
48,4.6,3.2,1.4,0.2,Iris-setosa,Bacteria,435.57
49,5.3,3.7,1.5,0.2,Iris-setosa,Bacteria,166.37
50,5.0,3.3,1.4,0.2,Iris-setosa,Bacteria,391.9
51,7.0,3.2,4.7,1.4,Iris-versicolor,Bacteria,157.42
52,6.4,3.2,4.5,1.5,Iris-versicolor,Virus,463.06
53,6.9,3.1,4.9,1.5,Iris-versicolor,Fungi,314.89
54,5.5,2.3,4.0,1.3,Iris-versicolor,Fungi,341.97
55,6.5,2.8,4.6,1.5,Iris-versicolor,Virus,239.38
56,5.7,2.8,4.5,1.3,Iris-versicolor,Bacteria,202.45
57,6.3,3.3,4.7,1.6,Iris-versicolor,Virus,409.7
58,4.9,2.4,3.3,1.0,Iris-versicolor,Virus,426.8
59,6.6,2.9,4.6,1.3,Iris-versicolor,Fungi,478.1
60,5.2,2.7,3.9,1.4,Iris-versicolor,Bacteria,489.05
